Ug. Ranking,Worl Ranking,University Name,Imapct Rank,Oppennes Rank,Excellence Rank
1,1105,Makerere University,2064,1411,1076
2,2824,Mbarara University of Science and Technology,6320,3718,2663
3,3071,Kampala International University,1049,1769,5631
4,4226,Kyambogo University,9579,4900,4075
5,4472,Gulu University,12521,4523,4145
6,4976,Busitema University,14861,4306,4655
7,5692,Uganda Martyrs University,8940,6492,4984
8,6501,(3) Makerere University Business School,8979,4461,6650
9,7689,Mountains of the Moon University,16393,6492,4984
10,9044,Ndejje University,9339,6492,6216
11,10146,Uganda Christian University,7375,6492,6650
12,11632,Muni University,15785,5357,6650
13,12224,Islamic University in Uganda,13750,6492,6216
14,12638,Kabale University,16195,5580,6650
15,12735,Uganda Management Institute,14401,6492,6216
16,13009,Bishop Stuart University,14760,6492,6216
17,13721,Nkumba University,15699,6492,6216
18,14448,Clarke International University (International Health Sciences University),16576,6492,6216
19,15600,Uganda Technology and Management University UTAMU,14377,6492,6650
20,16005,Bugema University,14861,6492,6650
21,16188,Africa Reformation Theological Seminary,15089,6492,6650
22,16227,International University of East Africa,15138,6492,6650
23,16539,Cavendish University Uganda,15521,6492,6650
24,16539,Victoria University Kampala,15521,6492,6650
25,18504,Kampala University,17809,6492,6650
26,18741,Muteesa I Royal University,18077,6492,6650
27,19517,Lira University,18958,6492,6650
28,19627,Law Development Centre Kampala,19086,6492,6650
29,20801,Livingstone International University,20397,6492,6650
30,21071,African Rural University,20690,6492,6650
31,21173,Uganda Institute of Information and Communications Technology,20800,6492,6650
32,21410,Kumi University,21057,6492,6650
33,21909,St Lawrence University,21608,6492,6650
34,21909,Uganda Pentecostal University,21608,6492,6650
35,22021,Soroti University,21737,6492,6650
36,22021,University of Africa,21737,6492,6650
37,22620,African Bible University,22377,6492,6650
38,22693,ISBAT University Kampala,22451,6492,6650
39,23068,University of Kisubi,22850,6492,6650
40,23394,Uganda Institute of Banking and Financial Services UIBFS,23189,6492,6650
41,23554,Management and Accountancy Training Company Limited MAT Uganda,23355,6492,6650
42,23713,Africa Renewal University,23526,6492,6650
43,23966,Institute of Petroleum Studies Kampala,23784,6492,6650
44,24159,University of The Sacred Heart Gulu,23985,6492,6650
45,24240,Metropolitan International University,24074,6492,6650
